,cellCategory,cellText,pageNum
0,t,,1
1,t,,1
2,t,,1
3,t,,1
4,t,,1
5,t,,1
6,t,,1
7,t,浙江万丰奥威汽轮股份有限公司,1
8,t,2017年年度报告,1
9,t,,1
10,t,,1
11,t,,1
12,t,,1
13,t,,1
14,t,,1
15,t,,1
16,t,,1
17,t,,1
18,t,,1
19,t,证券代码：002085,1
20,t,证券简称：万丰奥威,1
21,t,披露日期：2018年4月12日,1
22,t,第一节重要提示、目录和释义,2
23,t,公司董事会、监事会及董事、监事、高级管理人员保证年度报告内容的真,2
24,t,实、准确、完整，不存在虚假记载、误导性陈述或重大遗漏，并承担个别和连,2
25,t,带的法律责任。,2
26,t,公司负责人陈爱莲、主管会计工作负责人董瑞平及会计机构负责人（会计,2
27,t,主管人员）陈善富声明：保证年度报告中财务报告的真实、准确、完整。,2
28,t,所有董事均已出席了审议本报告的董事会会议。,2
29,t,本报告中涉及未来计划、业绩预测等方面内容，存在着不确定性，不构成,2
30,t,对投资者的实质承诺，同时公司面临着宏观及行业形势风险、人民币汇率波动、,2
31,t,原材料价格、用工成本上涨以及贸易壁垒风险，敬请投资者注意投资风险。,2
32,t,公司经本次董事会审议通过的利润分配预案为：以2017年12月31日公司,2
33,t,"总股本2,186,879,678股为基数，向全体股东每10股派发现金红利3.00元（含",2
34,t,税），送红股0股（含税），不以公积金转增股本。,2
35,t,目录,3
36,t,第一节重要提示、目录和释义........................................................................................................5,3
37,t,第二节公司简介和主要财务指标....................................................................................................9,3
38,t,第三节公司业务概要......................................................................................................................12,3
39,t,第四节经营情况讨论与分析..........................................................................................................28,3
40,t,第五节重要事项..............................................................................................................................43,3
41,t,第六节股份变动及股东情况..........................................................................................................49,3
42,t,第七节优先股相关情况..................................................................................................................49,3
43,t,第八节董事、监事、高级管理人员和员工情况..........................................................................50,3
44,t,第九节公司治理..............................................................................................................................58,3
45,t,第十节公司债券相关情况..............................................................................................................66,3
46,t,第十一节财务报告..........................................................................................................................67,3
47,t,第十二节备查文件目录................................................................................................................197,3
48,t,,3
49,l,,3
50,l,,3
51,l,,3
52,l,,3
53,l,,3
54,l,,3
55,l,,3
56,l,,3
57,l,,3
58,l,,3
59,l,,3
60,l,,3
61,t,释义,4
62,c,释义项,4
63,c,指,4
64,c,释义内容,4
65,c,公司、本公司、发行人、万丰奥威,4
66,c,指,4
67,c,浙江万丰奥威汽轮股份有限公司,4
68,c,本集团,4
69,c,指,4
70,c,本公司及子公司,4
71,c,万丰集团,4
72,c,指,4
73,c,万丰奥特控股集团有限公司,4
74,c,万丰摩轮,4
75,c,指,4
76,c,浙江万丰摩轮有限公司,4
77,c,宁波奥威尔,4
78,c,指,4
79,c,宁波万丰奥威尔轮毂有限公司,4
80,c,广东摩轮,4
81,c,指,4
82,c,广东万丰摩轮有限公司,4
83,c,威海镁业,4
84,c,指,4
85,c,威海万丰镁业科技发展有限公司,4
86,c,威海万丰,4
87,c,指,4
88,c,威海万丰奥威汽轮有限公司,4
89,c,吉林万丰,4
90,c,指,4
91,c,吉林万丰奥威汽轮有限公司,4
92,c,印度万丰,4
93,c,指,4
94,c,万丰铝轮（印度）私人有限公司,4
95,c,重庆万丰,4
96,c,指,4
97,c,重庆万丰奥威铝轮有限公司,4
98,c,卡耐新能源,4
99,c,指,4
100,c,上海卡耐新能源有限公司,4
101,c,上海达克罗,4
102,c,指,4
103,c,上海达克罗涂复工业有限公司,4
104,c,万丰镁瑞丁,4
105,c,指,4
106,c,"WanfengMLTHHoldingsCo.,Ltd",4
107,c,新昌镁镁,4
108,c,指,4
109,c,万丰镁瑞丁新材料科技有限公司,4
110,c,上海镁镁,4
111,c,指,4
112,c,上海镁镁合金压铸有限公司,4
113,c,宁波达克罗,4
114,c,指,4
115,c,宁波经济技术开发区达克罗涂复工业有限公司,4
116,c,公司章程,4
117,c,指,4
118,c,《浙江万丰奥威汽轮股份有限公司章程》,4
119,c,股东大会,4
120,c,指,4
121,c,浙江万丰奥威汽轮股份有限公司股东大会,4
122,c,董事会,4
123,c,指,4
124,c,浙江万丰奥威汽轮股份有限公司董事会,4
125,c,监事会,4
126,c,指,4
127,c,浙江万丰奥威汽轮股份有限公司监事会,4
128,c,中国证监会,4
129,c,指,4
130,c,中国证券监督管理委员会,4
131,c,深交所,4
132,c,指,4
133,c,深圳证券交易所,4
134,c,元/万元/亿元,4
135,c,指,4
136,c,人民币元/人民币万元/人民币亿元,4
137,c,公司法,4
138,c,指,4
139,c,中华人民共和国公司法,4
140,c,证券法,4
141,c,指,4
142,c,中华人民共和国证券法,4
143,c,威万轻合金,4
144,c,指,4
145,c,山东省威万轻合金工程技术研发有限公司,4
146,c,万丰锦源,4
147,c,指,4
148,c,万丰锦源控股集团有限公司,4
149,c,上海丰途,4
150,c,指,4
151,c,上海丰途汽车科技有限公司,4
152,t,第二节公司简介和主要财务指标,5
153,t,一、公司信息,5
154,c,股票简称,5
155,c,万丰奥威,5
156,c,股票代码,5
157,c,002085,5
158,c,股票上市证券交易所,5
159,c,深圳证券交易所,5
160,c,公司的中文名称,5
161,c,浙江万丰奥威汽轮股份有限公司,5
162,c,公司的中文简称,5
163,c,万丰奥威,5
164,c,公司的外文名称（如有）,5
165,c,"ZhejiangWanfengAutoWheelCo.,Ltd.",5
166,c,公司的外文名称缩写（如有）,5
167,c,--,5
168,c,公司的法定代表人,5
169,c,陈爱莲,5
170,c,注册地址,5
171,c,浙江省新昌县工业区,5
172,c,注册地址的邮政编码,5
173,c,312500,5
174,c,办公地址,5
175,c,浙江省新昌县工业区,5
176,c,办公地址的邮政编码,5
177,c,312500,5
178,c,公司网址,5
179,c,http://www.wfaw.com.cn,5
180,c,电子信箱,5
181,c,wfirm@wfjt.com,5
182,t,二、联系人和联系方式,5
183,c,,5
184,c,董事会秘书,5
185,c,证券事务代表,5
186,c,姓名,5
187,c,章银凤,5
188,c,,5
189,c,联系地址,5
190,c,浙江省新昌县工业区,5
191,c,,5
192,c,电话,5
193,c,0575-86298339,5
194,c,,5
195,c,传真,5
196,c,0575-86298339,5
197,c,,5
198,c,电子信箱,5
199,c,yinfeng.zhang@wfjt.com,5
200,c,,5
201,t,三、信息披露及备置地点,5
202,c,公司选定的信息披露媒体的名称,5
203,c,证券时报,5
204,c,登载年度报告的中国证监会指定网站的网址,5
205,c,http://www.cninfo.com.cn,5
206,c,公司年度报告备置地点,5
207,c,浙江省新昌县工业园浙江万丰奥威汽轮股份有限公司董事会办公室,5
208,t,四、注册变更情况,6
209,c,组织机构代码,6
210,c,913300007324065674,6
211,c,公司上市以来主营业务的变化情况（如有）,6
212,c,1、2011年6月，经中国证监会批准（中国证券监督委员会出具《关于核准浙江万丰奥威汽轮股份有限公司向万丰奥特控股集团有限公司等发行股份购买资产的批复》（证监许可[2011]1005号），公司收购了万丰摩轮75%股权，公司主营业务增加了摩托车轮毂业务；2、2013年11月，经公司股东大会批准收购了上海达克罗涂复工业有限公司，公司主营业务增加了环保涂复业务；3、2015年12月，经中国证监会批准，以非公开发行股票募集现金人民币13.5亿元收购了万丰镁瑞丁100%股权，公司主营业务增加了轻量化镁合金业务。,6
213,c,历次控股股东的变更情况（如有）,6
214,c,无,6
215,t,五、其他有关资料,6
216,t,公司聘请的会计师事务所,6
217,c,会计师事务所名称,6
218,c,安永华明会计师事务所（特殊普通合伙）,6
219,c,会计师事务所办公地址,6
